Local Time,Offset
1716105954.9617665,4.65892219543457
1716105965.0396297,4.662429332733154
1716105975.1141987,4.658497492472331
1716105985.1728485,4.65827480951945
1716105995.2310276,4.6576441923777265
1716106005.290078,4.657593409220378
1716106015.352074,4.655749400456746
1716106025.411525,4.65744145711263
1716106035.478912,4.660965442657471
1716106045.6882756,4.656651417414348
1716106055.7498138,4.656830549240112
1716106065.8178298,4.659615993499756
1716106075.9017086,4.660103956858317
1716106085.9872658,4.6594938437143965
1716106096.0699072,4.660149494806926
1716106106.1525555,4.658919016520183
1716106116.2271795,4.655244588851929
1716106126.292537,4.655963738759358
1716106136.363642,4.655382951100667
1716106146.4332755,4.658175627390544
1716106156.508702,4.654958566029866
1716106166.5712159,4.654546737670898
1716106176.7638323,4.6538480917612715
1716106186.8277416,4.654847065607707
1716106196.900937,4.656943877538045
1716106206.9753234,4.6531922817230225
1716106217.03496,4.652837912241618
1716106227.103214,4.656330982844035
1716106237.187156,4.656107107798259
1716106247.2678869,4.6527120272318525
1716106257.3705957,4.650790294011434
1716106267.449236,4.652128219604492
1716106277.5190742,4.655945062637329
1716106287.6051934,4.654760678609212
1716106297.686988,4.654545783996582
1716106307.7858057,4.65075143178304
1716106317.8453286,4.65074626604716
1716106327.912213,4.654375394185384
1716106337.9887245,4.650868495305379
1716106348.052555,4.649965206782023
1716106358.1230564,4.653293530146281
1716106368.2001507,4.649706443150838
1716106378.2641582,4.649735450744629
1716106388.3350537,4.653419574101766
1716106398.412099,4.649500370025635
1716106408.4745514,4.648952007293701
1716106418.5384254,4.64875324567159
1716106428.6081667,4.651842037836711
1716106438.713565,4.6475404103597
1716106448.7756274,4.6479330857594805
1716106458.8398075,4.6473268667856855
1716106468.9041955,4.646549224853516
1716106478.9675303,4.64655605951945
1716106489.0285037,4.646441459655762
1716106499.0981863,4.649865070978801
1716106509.1813984,4.649434804916382
1716106519.2577019,4.645637671152751
1716106529.3197448,4.644950866699219
1716106539.3857346,4.644761562347412
1716106549.4569752,4.644851207733154
1716106559.5199826,4.644200960795085
1716106569.7556365,4.648668209711711
1716106579.8316562,4.64533273379008
1716106589.8974984,4.645191589991252
1716106599.9610174,4.644893089930217
1716106610.0248795,4.645933310190837
1716106620.0961678,4.647981961568196
1716106630.1794999,4.647450923919678
1716106640.2577431,4.643764893213908
1716106650.3264303,4.647393703460693
1716106660.4035213,4.643641551335652
1716106670.4671009,4.643064737319946
1716106680.531004,4.642575025558472
1716106690.6039593,4.646217346191406
1716106700.9783478,4.642579952875773
1716106711.040035,4.642449537913005
1716106721.1005113,4.642329136530559
1716106731.1616313,4.642181873321533
1716106741.242037,4.64195704460144
1716106751.328632,4.644849538803101
1716106761.4048052,4.64143164952596
1716106771.4664347,4.641035954157512
1716106781.526866,4.640822728474935
1716106791.5949354,4.643759489059448
1716106801.6750686,4.644014994303386
1716106811.7575963,4.643977721532186
1716106821.8423269,4.644155899683635
1716106831.9505835,4.643198649088542
1716106842.0301769,4.639903465906779
1716106852.0998929,4.639338970184326
1716106862.172825,4.639094432195027
1716106872.2386062,4.6389414469401045
1716106882.3038914,4.638993740081787
1716106892.3757255,4.641762336095174
1716106902.4748914,4.634777228037517
1716106912.5615857,4.641189257303874
1716106922.6454628,4.6370673179626465
1716106932.7205222,4.641023715337117
1716106942.8036892,4.636739095052083
1716106952.8695986,4.636352777481079
1716106963.0351007,4.636170228322347
1716106973.0994942,4.636299133300781
1716106983.1704588,4.639758984247844
1716106993.2942765,4.628559668858846
1716107003.360592,4.635822693506877
1716107015.9190826,4.636082887649536
1716107028.4794188,4.6357777913411455
1716107038.6412146,4.609925031661987
1716107048.7615397,4.635310331980388
1716107058.82665,4.634786049524943
1716107068.893196,4.634478569030762
1716107078.9655724,4.631647904713948
